# NIST-based Proton Transport Lookup Table
# Material: Liquid water (density = 1.0 g/cm³)
# Energy range: 0.01 - 250.0 MeV
# Step length: 1.0 mm
#
# Column descriptions:
# 1: Energy [MeV] - Proton kinetic energy
# 2: StoppingPower [MeV/mm] - dE/dx from NIST PSTAR
# 3: LET [keV/um] - Linear Energy Transfer (same as stopping power)
# 4: Range [mm] - CSDA range integrated from stopping power
# 5: ScatteringAngle [rad] - RMS scattering angle per step (Highland formula)
# 6: ScatteringAngle [deg] - RMS scattering angle in degrees
# 7: Beta - v/c relativistic velocity
# 8: ResidualEnergy [MeV] - Energy after 1 mm step
#
Energy_MeV,StoppingPower_MeV_mm,LET_keV_um,Range_mm,ScatteringAngle_rad,ScatteringAngle_deg,Beta,ResidualEnergy_MeV
8.265959e-02,9.942981e+00,9.942981e+00,5.665071e-03,3.362015e+00,1.926293e+02,1.327298e-02,0.000000e+00
8.410311e-02,9.876390e+00,9.876390e+00,5.810738e-03,3.304313e+00,1.893232e+02,1.338836e-02,0.000000e+00
8.557183e-02,9.810246e+00,9.810246e+00,5.959949e-03,3.247601e+00,1.860738e+02,1.350474e-02,0.000000e+00
8.706621e-02,9.744544e+00,9.744544e+00,6.112789e-03,3.191863e+00,1.828803e+02,1.362214e-02,0.000000e+00
8.858668e-02,9.679283e+00,9.679283e+00,6.269346e-03,3.137082e+00,1.797415e+02,1.374055e-02,0.000000e+00
9.013370e-02,9.614685e+00,9.614685e+00,6.429710e-03,3.083240e+00,1.766567e+02,1.385999e-02,0.000000e+00
9.170775e-02,9.552921e+00,9.552921e+00,6.593950e-03,3.030323e+00,1.736247e+02,1.398047e-02,0.000000e+00
9.330927e-02,9.491553e+00,9.491553e+00,6.762138e-03,2.978314e+00,1.706448e+02,1.410200e-02,0.000000e+00
9.493877e-02,9.430580e+00,9.430580e+00,6.934370e-03,2.927198e+00,1.677161e+02,1.422458e-02,0.000000e+00
9.659673e-02,9.369998e+00,9.369998e+00,7.110742e-03,2.876959e+00,1.648376e+02,1.434823e-02,0.000000e+00
9.828363e-02,9.309806e+00,9.309806e+00,7.291355e-03,2.827582e+00,1.620085e+02,1.447295e-02,0.000000e+00
1.000000e-01,9.250000e+00,9.250000e+00,7.476311e-03,2.779053e+00,1.592280e+02,1.459876e-02,0.000000e+00
1.017463e-01,9.191854e+00,9.191854e+00,7.665699e-03,2.731357e+00,1.564952e+02,1.472566e-02,0.000000e+00
1.035232e-01,9.134073e+00,9.134073e+00,7.859615e-03,2.684480e+00,1.538093e+02,1.485366e-02,0.000000e+00
1.053310e-01,9.076656e+00,9.076656e+00,8.058164e-03,2.638407e+00,1.511696e+02,1.498277e-02,0.000000e+00
1.071705e-01,9.019600e+00,9.019600e+00,8.261459e-03,2.593124e+00,1.485751e+02,1.511301e-02,0.000000e+00
1.090420e-01,8.962902e+00,8.962902e+00,8.469613e-03,2.548619e+00,1.460251e+02,1.524438e-02,0.000000e+00
1.109463e-01,8.906560e+00,8.906560e+00,8.682741e-03,2.504878e+00,1.435190e+02,1.537689e-02,0.000000e+00
1.128838e-01,8.850573e+00,8.850573e+00,8.900963e-03,2.461888e+00,1.410558e+02,1.551055e-02,0.000000e+00
1.148551e-01,8.794938e+00,8.794938e+00,9.124401e-03,2.419635e+00,1.386349e+02,1.564537e-02,0.000000e+00
1.168609e-01,8.739652e+00,8.739652e+00,9.353179e-03,2.378108e+00,1.362556e+02,1.578137e-02,0.000000e+00
1.189017e-01,8.684714e+00,8.684714e+00,9.587424e-03,2.337294e+00,1.339171e+02,1.591854e-02,0.000000e+00
1.209781e-01,8.630122e+00,8.630122e+00,9.827268e-03,2.297180e+00,1.316187e+02,1.605691e-02,0.000000e+00
1.230908e-01,8.575872e+00,8.575872e+00,1.007284e-02,2.257754e+00,1.293598e+02,1.619648e-02,0.000000e+00
1.252404e-01,8.521964e+00,8.521964e+00,1.032429e-02,2.219005e+00,1.271396e+02,1.633726e-02,0.000000e+00
